observed_at,vessel_id,name,imo,mmsi,flag,vessel_type,deadweight,latitude,longitude,speed_knots,cog_degrees,draught_meters,nav_status,destination,position_source,zone,date_utc,hour_utc,is_destination_missing,is_speed_missing,is_draught_missing
2026-03-27T06:46:30Z,,HL PUFFIN LNG,9972385.0,636025069.0,Liberia,Tanker,89033.0,21.558768333333333,91.800705,,,,Under way,,TankerMap AIS1,,2026-03-27,6,True,True,True
2026-03-27T07:39:36Z,,HL PUFFIN LNG,9972385.0,636025069.0,Liberia,Tanker,89033.0,21.558768333333333,91.800705,,,,Under way,,TankerMap AIS1,,2026-03-27,7,True,True,True
2026-03-27T07:39:48Z,,HL PUFFIN LNG,9972385.0,636025069.0,Liberia,Tanker,89033.0,21.558768333333333,91.800705,,,,Under way,,TankerMap AIS1,,2026-03-27,7,True,True,True
2026-03-27T07:39:59Z,,HL PUFFIN LNG,9972385.0,636025069.0,Liberia,Tanker,89033.0,21.558768333333333,91.800705,,,,Under way,,TankerMap AIS1,,2026-03-27,7,True,True,True
2026-03-27T07:40:11Z,,HL PUFFIN LNG,9972385.0,636025069.0,Liberia,Tanker,89033.0,21.558768333333333,91.800705,,,,Under way,,TankerMap AIS1,,2026-03-27,7,True,True,True
2026-03-27T07:40:23Z,,HL PUFFIN LNG,9972385.0,636025069.0,Liberia,Tanker,89033.0,21.558768333333333,91.800705,,,,Under way,,TankerMap AIS1,,2026-03-27,7,True,True,True
2026-03-27T07:40:35Z,,HL PUFFIN LNG,9972385.0,636025069.0,Liberia,Tanker,89033.0,21.558768333333333,91.800705,,,,Under way,,TankerMap AIS1,,2026-03-27,7,True,True,True
2026-03-27T07:40:46Z,,HL PUFFIN LNG,9972385.0,636025069.0,Liberia,Tanker,89033.0,21.558768333333333,91.800705,,,,Under way,,TankerMap AIS1,,2026-03-27,7,True,True,True
2026-03-27T07:40:58Z,,HL PUFFIN LNG,9972385.0,636025069.0,Liberia,Tanker,89033.0,21.558768333333333,91.800705,,,,Under way,,TankerMap AIS1,,2026-03-27,7,True,True,True
2026-03-27T07:41:10Z,,HL PUFFIN LNG,9972385.0,636025069.0,Liberia,Tanker,89033.0,21.558768333333333,91.800705,,,,Under way,,TankerMap AIS1,,2026-03-27,7,True,True,True
2026-03-27T07:41:22Z,,HL PUFFIN LNG,9972385.0,636025069.0,Liberia,Tanker,89033.0,21.558768333333333,91.800705,,,,Under way,,TankerMap AIS1,,2026-03-27,7,True,True,True
2026-03-27T06:43:13Z,,HL EDWARD AUSTIN LNG,9972361.0,636025070.0,Liberia,Tanker,89033.0,35.458726666666664,-29.135773333333333,,,,Under way,,TankerMap AIS1,,2026-03-27,6,True,True,True
2026-03-27T06:46:30Z,,HL EDWARD AUSTIN LNG,9972361.0,636025070.0,Liberia,Tanker,89033.0,35.458726666666664,-29.135773333333333,,,,Under way,,TankerMap AIS1,,2026-03-27,6,True,True,True
2026-03-27T07:39:36Z,,HL EDWARD AUSTIN LNG,9972361.0,636025070.0,Liberia,Tanker,89033.0,35.458726666666664,-29.135773333333333,,,,Under way,,TankerMap AIS1,,2026-03-27,7,True,True,True
2026-03-27T07:39:48Z,,HL EDWARD AUSTIN LNG,9972361.0,636025070.0,Liberia,Tanker,89033.0,35.458726666666664,-29.135773333333333,,,,Under way,,TankerMap AIS1,,2026-03-27,7,True,True,True
2026-03-27T07:39:59Z,,HL EDWARD AUSTIN LNG,9972361.0,636025070.0,Liberia,Tanker,89033.0,35.458726666666664,-29.135773333333333,,,,Under way,,TankerMap AIS1,,2026-03-27,7,True,True,True
2026-03-27T07:40:11Z,,HL EDWARD AUSTIN LNG,9972361.0,636025070.0,Liberia,Tanker,89033.0,35.458726666666664,-29.135773333333333,,,,Under way,,TankerMap AIS1,,2026-03-27,7,True,True,True
2026-03-27T07:40:23Z,,HL EDWARD AUSTIN LNG,9972361.0,636025070.0,Liberia,Tanker,89033.0,35.458726666666664,-29.135773333333333,,,,Under way,,TankerMap AIS1,,2026-03-27,7,True,True,True
2026-03-27T07:40:35Z,,HL EDWARD AUSTIN LNG,9972361.0,636025070.0,Liberia,Tanker,89033.0,35.458726666666664,-29.135773333333333,,,,Under way,,TankerMap AIS1,,2026-03-27,7,True,True,True
2026-03-27T07:40:46Z,,HL EDWARD AUSTIN LNG,9972361.0,636025070.0,Liberia,Tanker,89033.0,35.458726666666664,-29.135773333333333,,,,Under way,,TankerMap AIS1,,2026-03-27,7,True,True,True
2026-03-27T07:40:58Z,,HL EDWARD AUSTIN LNG,9972361.0,636025070.0,Liberia,Tanker,89033.0,35.458726666666664,-29.135773333333333,,,,Under way,,TankerMap AIS1,,2026-03-27,7,True,True,True
